,Tit_pag,link_pag
245,"

",http://dcsh.izt.uam.mx/departamentos/antropologia/wp-content/uploads/2021/02/Portadas-4.pdf
246,Antropolog@s del milenio,http://dcsh.izt.uam.mx/departamentos/antropologia/wp-content/uploads/2021/02/Portadas-3.pdf
247,Cines latinoanmericanos,http://dcsh.izt.uam.mx/departamentos/antropologia/wp-content/uploads/2021/02/Portadas-2.pdf
248,Activismo diversidad,http://dcsh.izt.uam.mx/departamentos/antropologia/wp-content/uploads/2021/02/Novedades-editoriales-Prueba-1.pdf
249,Estudios transnacionales,http://dcsh.izt.uam.mx/departamentos/antropologia/wp-content/uploads/2020/02/Estudios-transnacionales.pdf
250,Geografía Humana,http://dcsh.izt.uam.mx/licenciaturas/geografia_humana/
251,Letras Hispánicas,http://dcsh.izt.uam.mx/licenciaturas/letras_hispanicas/
252," 
",http://dcsh.izt.uam.mx/licenciaturas/letras_hispanicas/wp-content/uploads/2020/04/Aviso-contingencia-LHV-1.png
253,Descargar índice,http://dcsh.izt.uam.mx/licenciaturas/letras_hispanicas/wp-content/uploads/2018/05/Índice-Josefina-Vicens.-Un-clásico-por-descubrir.pdf
254,DIDÁCTICA DE LA LITERATURA I,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/1Clv_2255242.pdf
255,SEMINARIO DE INVESTIGACIÓN LITERARIA I,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/5Clv_2255246.pdf
256,PRODUCCIÓN EDITORIAL I,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/9Clv_2255250.pdf
257,DIDÁCTICA DE LA LITERATURA II,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/2Clv_2255243.pdf
258,SEMINARIO DE INVESTIGACIÓN LITERARIA II,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/6Clv_2255247.pdf
259,PRODUCCIÓN EDITORIAL II,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/10Clv_2255251.pdf
260,DIDÁCTICA DE LA LITERATURA III,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/3Clv_2255244.pdf
261,SEMINARIO DE INVESTIGACIÓN LITERARIA III ,http://csh.izt.uam.mx/licenciaturas/letras_hispanicas/propuesta/UEAS/Programas/7Clv_2255248.pdf
